Row Labels;4TC_PCURMON;4TC_P+1MON
18/06/2012;8086;8000
19/06/2012;8068;8029
20/06/2012;8036;7904
21/06/2012;7950;7557
22/06/2012;7921;7421
25/06/2012;7893;7221
26/06/2012;7909;7418
27/06/2012;7916;7333
28/06/2012;7924;7339
29/06/2012;7510;7480
02/07/2012;7750;7857
03/07/2012;8217;8183
04/07/2012;8433;8246
05/07/2012;8836;8400
06/07/2012;9071;8500
09/07/2012;8850;8418
10/07/2012;8514;8182
11/07/2012;8746;8393
12/07/2012;8679;8261
13/07/2012;8886;8357
16/07/2012;9171;8479
17/07/2012;9064;8232
18/07/2012;8900;7814
19/07/2012;8900;7779
20/07/2012;8929;7832
23/07/2012;8907;7714
24/07/2012;8868;7529
25/07/2012;8850;7439
26/07/2012;8857;7443
27/07/2012;8842;7483
30/07/2012;8832;7418
31/07/2012;7193;7636
01/08/2012;7000;7386
02/08/2012;6746;7093
03/08/2012;6855;7225
06/08/2012;6879;7336
07/08/2012;6854;7296
08/08/2012;6771;7286
09/08/2012;6886;7464
10/08/2012;6904;7550
13/08/2012;6871;7479
14/08/2012;6914;7671
15/08/2012;6936;7679
16/08/2012;6821;7704
17/08/2012;6879;7950
20/08/2012;6879;8143
21/08/2012;6879;7907
22/08/2012;6821;7746
23/08/2012;6754;7450
24/08/2012;6738;7288
28/08/2012;6689;7043
29/08/2012;6681;6736
30/08/2012;6605;6318
31/08/2012;6233;7408
03/09/2012;6155;7480
04/09/2012;5525;7050
05/09/2012;5014;6236
06/09/2012;4883;6083
07/09/2012;4957;6207
10/09/2012;4957;6343
11/09/2012;4836;5993
12/09/2012;4525;5632
13/09/2012;4350;5658
14/09/2012;4296;5717
17/09/2012;4207;5579
18/09/2012;4250;5971
19/09/2012;4275;5850
20/09/2012;4229;5864
21/09/2012;4200;5642
24/09/2012;4129;5242
25/09/2012;4118;5193
26/09/2012;4107;4757
27/09/2012;4142;5108
28/09/2012;5061;6657
01/10/2012;5257;7221
02/10/2012;5225;7296
03/10/2012;5521;7429
04/10/2012;6043;8043
05/10/2012;6221;8221
08/10/2012;6093;7707
09/10/2012;6336;8050
