Row Labels;4TC_PCURMON;4TC_P+1MON;Days until M CURM;Days until M +1MON;CURM days away;1MON  days away;22;Total days;Perpetual
22/06/2010;26928;23903;8;39;14;17;;31;25562
23/06/2010;27083;24389;7;38;15;16;;31;25779
24/06/2010;26750;23375;6;37;16;15;;31;25008
25/06/2010;26778;23194;5;36;17;14;;31;24813
28/06/2010;26586;22292;2;33;20;11;;31;23816
29/06/2010;26350;21347;1;32;21;10;;31;22961
30/06/2010;20219;19806;0;31;22;9;;31;19926
01/07/2010;18891;18656;30;61;8;39;;47;18851
02/07/2010;17722;17850;29;60;7;38;;45;17742
05/07/2010;17778;18097;26;57;4;35;;39;17811
06/07/2010;17319;17539;25;56;3;34;;37;17337
07/07/2010;16544;16691;24;55;2;33;;35;16552
08/07/2010;16667;16850;23;54;1;32;;33;16673
09/07/2010;17583;17900;22;53;0;31;;31;17583
12/07/2010;17239;17719;19;50;3;28;;31;17285
13/07/2010;17289;18114;18;49;4;27;;31;17395
14/07/2010;17481;18594;17;48;5;26;;31;17661
15/07/2010;17889;19544;16;47;6;25;;31;18209
16/07/2010;18111;20264;15;46;7;24;;31;18597
19/07/2010;18194;20194;12;43;10;21;;31;18839
20/07/2010;18097;20056;11;42;11;20;;31;18792
21/07/2010;18181;20861;10;41;12;19;;31;19218
22/07/2010;18275;21206;9;40;13;18;;31;19504
23/07/2010;18311;21431;8;39;14;17;;31;19720
26/07/2010;18256;21542;5;36;17;14;;31;20058
27/07/2010;18347;21728;4;35;18;13;;31;20310
28/07/2010;18389;22275;3;34;19;12;;31;20771
29/07/2010;18417;23678;2;33;20;11;;31;21811
30/07/2010;23528;25458;1;32;21;10;;31;24835
02/08/2010;23139;25278;29;59;7;37;;44;23479
03/08/2010;21556;23417;28;58;6;36;;42;21822
04/08/2010;20613;22488;27;57;5;35;;40;20847
05/08/2010;21308;23417;26;56;4;34;;38;21530
06/08/2010;21938;24250;25;55;3;33;;36;22131
09/08/2010;22418;24969;22;52;0;30;;30;22418
10/08/2010;22625;25086;21;51;1;29;;30;22707
11/08/2010;23075;25864;20;50;2;28;;30;23261
12/08/2010;22656;25289;19;49;3;27;;30;22919
13/08/2010;22484;25063;18;48;4;26;;30;22828
16/08/2010;22711;25908;15;45;7;23;;30;23457
17/08/2010;23022;26584;14;44;8;22;;30;23972
18/08/2010;23014;26719;13;43;9;21;;30;24126
19/08/2010;23394;27444;12;42;10;20;;30;24744
20/08/2010;23731;28047;11;41;11;19;;30;25314
23/08/2010;23769;28069;8;38;14;16;;30;25776
24/08/2010;23317;26792;7;37;15;15;;30;25055
25/08/2010;22875;25694;6;36;16;14;;30;24378
26/08/2010;23000;25625;5;35;17;13;;30;24488
27/08/2010;23028;25500;4;34;18;12;;30;24511
31/08/2010;25450;26453;0;30;22;8;;30;26186
01/09/2010;26363;27809;29;60;7;38;;45;26588
02/09/2010;26417;27711;28;59;6;37;;43;26598
03/09/2010;26969;28156;27;58;5;36;;41;27114
06/09/2010;26844;28000;24;55;2;33;;35;26910
07/09/2010;27531;28553;23;54;1;32;;33;27562
08/09/2010;27400;28483;22;53;0;31;;31;27400
09/09/2010;26889;27833;21;52;1;30;;31;26919
10/09/2010;26939;27886;20;51;2;29;;31;27000
13/09/2010;26567;27319;17;48;5;26;;31;26688
14/09/2010;26133;26742;16;47;6;25;;31;26251
15/09/2010;25128;25358;15;46;7;24;;31;25180
16/09/2010;24692;24803;14;45;8;23;;31;24721
17/09/2010;24933;25442;13;44;9;22;;31;25081
20/09/2010;25175;26094;10;41;12;19;;31;25531
21/09/2010;24714;25489;9;40;13;18;;31;25039
22/09/2010;24386;24889;8;39;14;17;;31;24613
23/09/2010;24456;24986;7;38;15;16;;31;24712
24/09/2010;24597;24919;6;37;16;15;;31;24763
27/09/2010;24514;25028;3;34;19;12;;31;24829
28/09/2010;24153;23917;2;33;20;11;;31;24001
29/09/2010;23864;22889;1;32;21;10;;31;23204
30/09/2010;22375;23333;0;31;22;9;;31;23055
01/10/2010;22264;23375;30;60;8;38;;46;22457
04/10/2010;22208;23481;27;57;5;35;;40;22367
05/10/2010;22178;24567;26;56;4;34;;38;22429
06/10/2010;21994;24889;25;55;3;33;;36;22235
07/10/2010;21328;24609;24;54;2;32;;34;21521
08/10/2010;21297;24888;23;53;1;31;;32;21409
11/10/2010;21239;25183;20;50;2;28;;30;21502
12/10/2010;20542;24275;19;49;3;27;;30;20915
13/10/2010;19678;23169;18;48;4;26;;30;20143
14/10/2010;19314;22469;17;47;5;25;;30;19840
15/10/2010;18925;22208;16;46;6;24;;30;19582
18/10/2010;18833;21614;13;43;9;21;;30;19667
19/10/2010;18567;21519;12;42;10;20;;30;19551
20/10/2010;18488;21250;11;41;11;19;;30;19501
21/10/2010;18775;21925;10;40;12;18;;30;20035
22/10/2010;18916;22544;9;39;13;17;;30;20488
25/10/2010;19108;23572;6;36;16;14;;30;21489
26/10/2010;19111;23803;5;35;17;13;;30;21770
27/10/2010;18978;22397;4;34;18;12;;30;21029
28/10/2010;18853;21539;3;33;19;11;;30;20554
29/10/2010;20696;21446;2;32;20;10;;30;21196
01/11/2010;19272;20094;29;60;7;38;;45;19400
02/11/2010;18736;19300;28;59;6;37;;43;18815
03/11/2010;19025;19572;27;58;5;36;;41;19092
04/11/2010;19992;20733;26;57;4;35;;39;20068
05/11/2010;20063;20938;25;56;3;34;;37;20134
08/11/2010;20389;21267;22;53;0;31;;31;20389
09/11/2010;19847;21108;21;52;1;30;;31;19888
10/11/2010;19819;21013;20;51;2;29;;31;19896
11/11/2010;18839;19419;19;50;3;28;;31;18895
12/11/2010;18458;18825;18;49;4;27;;31;18505
15/11/2010;17989;18083;15;46;7;24;;31;18010
16/11/2010;18006;18028;14;45;8;23;;31;18012
17/11/2010;17572;17264;13;44;9;22;;31;17483
18/11/2010;17742;17483;12;43;10;21;;31;17658
19/11/2010;17753;17747;11;42;11;20;;31;17751
22/11/2010;17858;18044;8;39;14;17;;31;17942
23/11/2010;17969;18300;7;38;15;16;;31;18129
24/11/2010;18109;18956;6;37;16;15;;31;18546
25/11/2010;18169;19125;5;36;17;14;;31;18693
26/11/2010;18069;18728;4;35;18;13;;31;18452
29/11/2010;18086;18569;1;32;21;10;;31;18413
30/11/2010;18463;17891;0;31;22;9;;31;18057
01/12/2010;19000;18304;30;61;8;39;;47;18882
02/12/2010;18886;18175;29;60;7;38;;45;18775
03/12/2010;18779;18129;28;59;6;37;;43;18688
06/12/2010;18484;17931;25;56;3;34;;37;18439
07/12/2010;18600;17772;24;55;2;33;;35;18553
08/12/2010;18744;17688;23;54;1;32;;33;18712
09/12/2010;18475;17106;22;53;0;31;;31;18475
10/12/2010;18484;17025;21;52;1;30;;31;18437
13/12/2010;18503;17069;18;49;4;27;;31;18318
14/12/2010;18484;16772;17;48;5;26;;31;18208
15/12/2010;18209;16106;16;47;6;25;;31;17802
16/12/2010;17944;15988;15;46;7;24;;31;17502
17/12/2010;17781;15984;14;45;8;23;;31;17317
20/12/2010;17794;15950;11;42;11;20;;31;17140
21/12/2010;17328;15350;10;41;12;19;;31;16562
22/12/2010;17406;15272;9;40;13;18;;31;16511
23/12/2010;17331;15734;8;39;14;17;;31;16610
24/12/2010;15825;16293;7;38;15;16;;31;16051
29/12/2010;16000;16521;2;33;20;11;;31;16336
30/12/2010;15971;16421;1;32;21;10;;31;16276
31/12/2010;15964;16471;0;31;22;9;;31;16324
04/01/2011;14984;15613;27;55;5;33;;38;15067
05/01/2011;14997;15434;26;54;4;32;;36;15046
06/01/2011;15844;16266;25;53;3;31;;34;15881
07/01/2011;16106;16628;24;52;2;30;;32;16139
10/01/2011;16088;16609;21;49;1;27;;28;16107
11/01/2011;15816;16331;20;48;2;26;;28;15853
12/01/2011;15421;15850;19;47;3;25;;28;15467
13/01/2011;15094;15384;18;46;4;24;;28;15135
14/01/2011;14963;15350;17;45;5;23;;28;15032
17/01/2011;14804;15218;14;42;8;20;;28;14922
18/01/2011;14772;15331;13;41;9;19;;28;14952
19/01/2011;14413;14938;12;40;10;18;;28;14601
20/01/2011;14297;14103;11;39;11;17;;28;14221
21/01/2011;14100;13700;10;38;12;16;;28;13929
24/01/2011;13828;12578;7;35;15;13;;28;13158
25/01/2011;13500;11625;6;34;16;12;;28;12429
26/01/2011;13409;11297;5;33;17;11;;28;12127
27/01/2011;13525;12347;4;32;18;10;;28;12768
28/01/2011;13580;12406;3;31;19;9;;28;12783
31/01/2011;12425;13554;0;28;22;6;;28;13312
01/02/2011;12259;13597;27;58;5;36;;41;12422
02/02/2011;12191;13747;26;57;4;35;;39;12351
03/02/2011;12572;14584;25;56;3;34;;37;12735
04/02/2011;12938;15503;24;55;2;33;;35;13085
07/02/2011;13172;16147;21;52;1;30;;31;13268
08/02/2011;13350;16863;20;51;2;29;;31;13577
09/02/2011;13154;16461;19;50;3;28;;31;13474
10/02/2011;13350;17003;18;49;4;27;;31;13821
11/02/2011;13981;17719;17;48;5;26;;31;14584
14/02/2011;13703;17528;14;45;8;23;;31;14690
15/02/2011;13625;17591;13;44;9;22;;31;14776
16/02/2011;13522;17353;12;43;10;21;;31;14758
17/02/2011;13603;17434;11;42;11;20;;31;14962
18/02/2011;13600;17268;10;41;12;19;;31;15020
21/02/2011;13229;15825;7;38;15;16;;31;14485
22/02/2011;13264;15332;6;37;16;15;;31;14331
23/02/2011;13182;14532;5;36;17;14;;31;13922
24/02/2011;13303;16144;4;35;18;13;;31;14953
25/02/2011;13353;16694;3;34;19;12;;31;15401
28/02/2011;16228;17116;0;31;22;9;;31;16858
01/03/2011;16509;17388;30;60;8;38;;46;16662
02/03/2011;16728;17772;29;59;7;37;;44;16894
03/03/2011;16956;18406;28;58;6;36;;42;17163
04/03/2011;16996;18461;27;57;5;35;;40;17179
07/03/2011;17006;18544;24;54;2;32;;34;17096
08/03/2011;16616;17866;23;53;1;31;;32;16655
09/03/2011;16659;17656;22;52;0;30;;30;16659
10/03/2011;16888;17750;21;51;1;29;;30;16917
11/03/2011;16750;17803;20;50;2;28;;30;16820
14/03/2011;16509;17191;17;47;5;25;;30;16623
15/03/2011;16256;16613;16;46;6;24;;30;16327
16/03/2011;16550;17313;15;45;7;23;;30;16728
17/03/2011;16519;17231;14;44;8;22;;30;16709
18/03/2011;16559;17372;13;43;9;21;;30;16803
21/03/2011;16566;17488;10;40;12;18;;30;16935
22/03/2011;16625;17541;9;39;13;17;;30;17022
23/03/2011;16600;17559;8;38;14;16;;30;17048
24/03/2011;16500;17042;7;37;15;15;;30;16771
25/03/2011;16497;16978;6;36;16;14;;30;16754
28/03/2011;16500;16769;3;33;19;11;;30;16670
29/03/2011;16469;16331;2;32;20;10;;30;16377
30/03/2011;16347;15641;1;31;21;9;;30;15853
31/03/2011;15419;15738;0;30;22;8;;30;15653
01/04/2011;15378;15709;29;60;7;38;;45;15429
04/04/2011;15153;15384;26;57;4;35;;39;15177
05/04/2011;14836;15132;25;56;3;34;;37;14860
06/04/2011;14425;14771;24;55;2;33;;35;14445
07/04/2011;14072;14466;23;54;1;32;;33;14084
08/04/2011;13884;14278;22;53;0;31;;31;13884
11/04/2011;13750;14209;19;50;3;28;;31;13794
12/04/2011;13519;13722;18;49;4;27;;31;13545
13/04/2011;13019;12963;17;48;5;26;;31;13010
14/04/2011;13038;13091;16;47;6;25;;31;13048
15/04/2011;13059;13141;15;46;7;24;;31;13078
18/04/2011;13038;13116;12;43;10;21;;31;13063
19/04/2011;12866;12559;11;42;11;20;;31;12757
20/04/2011;12631;11806;10;41;12;19;;31;12312
21/04/2011;12671;11664;9;40;13;18;;31;12249
26/04/2011;12606;12222;4;35;18;13;;31;12383
27/04/2011;12767;13300;3;34;19;12;;31;13094
28/04/2011;13267;13550;2;33;20;11;;31;13450
03/05/2011;13769;13978;28;58;6;36;;42;13799
04/05/2011;14453;14266;27;57;5;35;;40;14430
05/05/2011;14450;14203;26;56;4;34;;38;14424
06/05/2011;14081;13656;25;55;3;33;;36;14046
09/05/2011;13731;13313;22;52;0;30;;30;13731
10/05/2011;13875;13400;21;51;1;29;;30;13859
11/05/2011;13822;13019;20;50;2;28;;30;13768
12/05/2011;13506;12125;19;49;3;27;;30;13368
13/05/2011;13375;11975;18;48;4;26;;30;13188
16/05/2011;12994;11338;15;45;7;23;;30;12608
17/05/2011;13006;11375;14;44;8;22;;30;12571
18/05/2011;13347;11972;13;43;9;21;;30;12935
19/05/2011;13400;12406;12;42;10;20;;30;13069
20/05/2011;13600;12921;11;41;11;19;;30;13351
23/05/2011;13644;13206;8;38;14;16;;30;13440
24/05/2011;13721;13575;7;37;15;15;;30;13648
25/05/2011;13875;13875;6;36;16;14;;30;13875
26/05/2011;13941;13681;5;35;17;13;;30;13794
27/05/2011;13936;13243;4;34;18;12;;30;13520
31/05/2011;13256;12469;0;30;22;8;;30;12679
01/06/2011;13213;12269;29;60;7;38;;45;13066
02/06/2011;13244;12150;28;59;6;37;;43;13091
03/06/2011;13457;12100;27;58;5;36;;41;13292
06/06/2011;13467;12117;24;55;2;33;;35;13390
07/06/2011;13746;12114;23;54;1;32;;33;13697
08/06/2011;14464;12693;22;53;0;31;;31;14464
09/06/2011;14789;12964;21;52;1;30;;31;14730
10/06/2011;14793;12986;20;51;2;29;;31;14676
13/06/2011;14779;13171;17;48;5;26;;31;14520
14/06/2011;14936;13443;16;47;6;25;;31;14647
15/06/2011;14933;13321;15;46;7;24;;31;14569
16/06/2011;14718;12950;14;45;8;23;;31;14262
17/06/2011;14689;12943;13;44;9;22;;31;14182
20/06/2011;14607;12793;10;41;12;19;;31;13905
21/06/2011;14736;13193;9;40;13;18;;31;14089
22/06/2011;14714;13314;8;39;14;17;;31;14082
23/06/2011;14721;13243;7;38;15;16;;31;14006
24/06/2011;14721;13275;6;37;16;15;;31;13975
27/06/2011;14686;12914;3;34;19;12;;31;13600
28/06/2011;14650;11914;2;33;20;11;;31;12885
29/06/2011;14607;11818;1;32;21;10;;31;12718
30/06/2011;11950;11779;0;31;22;9;;31;11829
01/07/2011;12050;11868;30;61;8;39;;47;12019
04/07/2011;12383;12117;27;58;5;36;;41;12351
05/07/2011;12786;12386;26;57;4;35;;39;12745
06/07/2011;12950;12436;25;56;3;34;;37;12908
07/07/2011;13093;12521;24;55;2;33;;35;13060
08/07/2011;12993;12482;23;54;1;32;;33;12978
11/07/2011;12800;12243;20;51;2;29;;31;12764
12/07/2011;12575;11718;19;50;3;28;;31;12492
13/07/2011;12507;11586;18;49;4;27;;31;12388
14/07/2011;12479;11521;17;48;5;26;;31;12324
15/07/2011;12383;11400;16;47;6;25;;31;12193
18/07/2011;12350;11336;13;44;9;22;;31;12056
19/07/2011;12436;11279;12;43;10;21;;31;12063
20/07/2011;12486;11343;11;42;11;20;;31;12080
21/07/2011;12492;11233;10;41;12;19;;31;12005
