"","Handysize.Bulker.Orderbook..No.","Handymax.Bulker.Orderbook..No.","Panamax.Bulker.Orderbook..No.","Capesize.Bulker.Orderbook..No.","Handysize.Bulker.Orderbook..CGT.","Handymax.Bulker.Orderbook..CGT.","Panamax.Bulker.Orderbook..CGT.","Capesize.Bulker.Orderbook..CGT.","Handysize.Bulker.Orderbook..DWT.","Handymax.Bulker.Orderbook..DWT.","Capesize.Bulker.Orderbook..DWT.","Handysize.Bulker.Orderbook..GT.","Handymax.Bulker.Orderbook..GT.","Capesize.Bulker.Orderbook..GT.","Panamax.Bulker.Orderbook..DWT."
"25-02-2020",270.235019900325,252.530628117927,249.504913664332,198.983337070111,3001126.3055246,4432153.02517804,5009070.19494199,6990211.60231898,7614531.81965864,15412821.6370753,43668508.0528411,4786027.73382498,9206375.79812065,22918170.0302702,20834619.3418085
"26-02-2020",270.845696947286,252.411374523999,249.429486022528,199.06909664173,3007523.21897441,4429869.78495375,5007639.39141166,6991746.70410589,7631886.24269855,15404164.4279036,43672116.5763665,4795974.99256704,9201444.36930675,22920168.1055103,20828565.6492736
"27-02-2020",271.443842387006,252.284085220227,249.395621140752,199.186792008721,3013838.74839383,4427453.83163417,5007047.74605164,6994349.44532036,7649181.28892585,15395154.3966361,43682204.8255523,4805845.59677299,9196245.93683971,22925532.131324,20825989.9275562
"28-02-2020",272.029456818238,252.148760079149,249.403318985087,199.336423288883,3020072.90010472,4424905.1628002,5007295.2582693,6998019.82856725,7666416.97565298,15385791.5342514,43698772.8104934,4815639.55632333,9190780.49551443,22934262.1130791,20826892.1740764
"29-02-2020",272.602540827241,252.005398965343,249.452579563258,199.517990632018,3026225.68034817,4422223.77590121,5008381.92831279,7002757.85752118,7683593.3201347,15376075.8313791,43721820.5477774,4825356.88102292,9185048.03986113,22946358.0595156,20831272.3897391
"01-03-2020",273.163094987653,251.854001735252,249.543402924551,199.731494219872,3032297.09528286,4419409.66825227,5010307.75726944,7008563.53692491,7700710.33956398,15366007.2782911,43751348.0604752,4834997.58059841,9179048.56413992,22961819.9827419,20839130.578927
"02-03-2020",273.701324852829,251.692712057312,249.63481464009,199.92040963572,3038096.11164068,4416414.00288554,5012242.4407244,7013597.12450158,7717017.55085846,15355299.897742,43776432.966979,4844182.51282155,9172659.38545208,22974942.2318762,20847047.9743914
"03-03-2020",274.217230961573,251.521529770082,249.726814801389,200.084737068696,3043622.73522685,4413236.77680248,5014185.98061454,7017858.62529076,7732514.97034275,15343953.6790143,43797075.2924047,4852911.68688712,9165880.49740226,22985724.8200569,20855024.5840587
"04-03-2020",274.710813830292,251.340454702159,249.819403500514,200.22447668327,3048876.97157334,4409877.9868219,5016138.37888483,7021348.04355756,7747202.61352944,15331968.6107478,43813275.0574112,4861185.11153273,9158711.89320321,22994167.7580753,20863060.4159114
"05-03-2020",275.182073953092,251.149486672288,249.912580830167,200.339628619339,3053858.82593993,4406337.62958165,5018099.63749003,7024065.38279529,7761080.49512159,15319344.6809453,43825032.2782165,4869002.79504052,9151153.56567911,23000271.0543839,20871155.477995
"06-03-2020",275.631011801777,250.948625489348,250.006346883643,200.430192992188,3058568.30331431,4402615.70153838,5020069.75839385,7026010.64572456,7774148.62901322,15306081.8769722,43832346.9665924,4876364.74523738,9143205.50726518,23004034.7150935,20879309.7784147
"07-03-2020",276.057627825664,250.737870952187,250.100701754758,200.496169892451,3063005.40840983,4398712.19896503,5022048.7435675,7027183.83429194,7786407.02828344,15292180.1855474,43835219.1298575,4883270.96949126,9134867.71000256,23005458.7439698,20887523.3253293
"08-03-2020",276.461922451875,250.517222849882,250.195645538001,200.537559386188,3067170.14566891,4394627.1179548,5024036.59499278,7027584.94967225,7797855.70520515,15277639.5927575,43833648.7708889,4889721.47471665,9126140.16554631,23004543.1424393,20895796.1269641
"09-03-2020",276.84389608515,250.286680961578,250.291178328427,200.554361514845,3071062.5192609,4390360.45441875,5026033.3146598,7027213.99226735,7808494.67123971,15262460.0840481,43827635.8881165,4895716.26737126,9117022.86516055,23001287.9095864,20904128.1916012
"10-03-2020",277.2035491078,250.046245056431,250.38730022163,200.546576295211,3074682.53308157,4385912.20408478,5028038.90456666,7026070.96170508,7818323.9370355,15246641.6442205,43817180.4755168,4901255.35345507,9107515.79971651,22995693.0421503,20912519.5275785
"11-03-2020",277.54088187987,249.795914893774,250.484011313842,200.51420371951,3078030.19075485,4381282.36250027,5030053.36672122,7024155.85684174,7827343.51243235,15230184.2574407,43802282.5226263,4906338.73851315,9097618.95969781,22987758.5345316,20920970.1432968
"12-03-2020",277.85589473908,249.535690223043,250.581311701902,200.457243755342,3081105.49563233,4376470.92503104,5032076.70314054,7021468.67576031,7835553.40646037,15213087.9072357,43782942.0145318,4910966.42763489,9087332.33519817,22977484.3787878,20929480.0472176
"13-03-2020",278.148588000719,249.265570783692,250.679201483173,200.375696345668,3083908.4507919,4371477.88685979,5034108.91584935,7018009.4157703,7842953.62733646,15195352.5764886,43759158.9318699,4915138.4254518,9076655.91591864,22964870.5646327,20938049.2478567
"14-03-2020",278.41896195784,248.985556305375,250.777680755684,200.269561408877,3086439.05904008,4366303.24298919,5036150.00688269,7013778.07340946,7849544.1824702,15176978.2474485,43730933.250836,4918854.7361413,9065589.69117342,22949917.0794408,20946677.7537951
"15-03-2020",278.667016881078,248.69564650776,250.876749618004,200.138838838717,3088697.32290987,4360946.98823876,5038199.97828352,7008774.64444182,7855325.07845834,15157964.9017206,43698264.9431741,4922115.36342313,9054133.64988389,22932623.9082428,20955365.5736694
"16-03-2020",278.892753018737,248.395841100626,250.976408169296,199.983528504322,3090683.24466178,4355409.11724655,5040258.83210377,7002999.12385856,7860296.32108759,15138312.5202712,43661153.9761806,4924920.31056119,9042287.78058183,22912991.0337266,20964112.7161756
"17-03-2020",279.096170596813,248.086139783876,251.07665650934,199.803630250225,3092396.82628407,4349689.62446923,5042326.5704048,6996451.50587824,7864457.91533506,15118021.0834286,43619600.3127064,4927269.58036376,9030052.07140969,22891018.4362393,20972919.1900715
"18-03-2020",279.277269818894,247.766542247442,251.177494738462,199.599143896328,3093838.06949162,4343788.50418064,5044403.19525595,6989131.78394611,7867809.86536535,15097090.5708777,43573603.9111529,4929163.17518174,9017426.51011753,22866706.0937846,20981785.0041706
"19-03-2020",279.436050866314,247.437048171441,251.278922957635,199.37006923795,3095006.97572773,4337705.75047425,5046488.70873662,6981039.95073533,7870352.17453538,15075520.9616689,43523164.7254785,4930601.09691163,9004411.08406817,22840053.9820262,20990710.1673501
"20-03-2020",279.572513897996,247.097657226007,251.380941268374,199.116406045761,3095903.54616224,4331441.35726054,5048583.11293413,6972175.99814514,7872084.84538938,15053312.2342084,43468282.7051887,4931583.34699237,8991005.78023173,22811062.0742828,20999694.6885434
"21-03-2020",279.686659050542,246.748369071395,251.48354977281,198.838154065841,3096527.7816926,4324995.31826856,5050686.40994518,6962539.91730258,7873007.87966169,15030464.3662645,43408957.7953457,4932109.92640715,8977210.58518889,22779730.3415329,21008738.5767445
"22-03-2020",279.778486438256,246.389183357985,251.586748573675,198.535313019653,3096879.68294417,4318367.62704608,5052798.60187555,6952131.69856165,7873121.27827747,15006977.334967,43345189.9365631,4932180.83568386,8963025.4851311,22746058.7524123,21017841.8410081
"23-03-2020",279.847996153003,246.020099726166,251.690537774242,198.207882604018,3096959.25026858,4311558.27695768,5054919.69083904,6940951.33150261,7872425.04134867,14982851.1168019,43276979.0650031,4931796.07489247,8948450.46585688,22710047.2732127,21027004.4904445
"24-03-2020",279.895188264405,245.641117806499,251.794917478437,197.855862491189,3096766.48374585,4304567.26118738,5057049.67895947,6928998.8049342,7870919.16817921,14958085.6876191,43204325.112388,4930955.64364839,8933485.51277689,22671695.8678871,21036226.5342279
"25-03-2020",279.920062819662,245.25223721957,251.899887790718,197.479252328746,3096301.38318261,4297394.57273627,5059188.56836847,6916274.10689044,7868603.65726067,14932681.0226256,43127228.0059822,4929659.54110966,8918130.61090942,22631004.4980412,21045507.9815878
"26-03-2020",279.922619843758,244.85345757618,252.005448816219,197.078051739729,3095563.94811422,4290040.20442559,5061336.36120822,6902777.22463461,7865478.50627752,14906637.0963949,43045687.6686154,4927907.76598038,8902385.74488632,22587973.1229447,21054848.8418195
"27-03-2020",279.902859339158,244.44477847703,252.111600660558,196.652260322484,3094554.17780135,4282504.14889163,5063493.0596277,6888508.14465475,7861543.71209845,14879953.8828501,42959704.0186567,4925700.31650511,8886250.89894299,22542601.6995188,21064249.1242694
"28-03-2020",279.860781286128,244.026199513062,252.218343430017,196.201877650782,3093272.07123376,4274786.39859123,5065658.66578625,6873466.85266708,7856799.27078602,14852631.3552829,42869276.9700336,4923037.19047501,8869726.05692926,22494890.1823449,21073708.8383491
"29-03-2020",279.796385642549,243.59772026526,252.325677231454,195.726903273774,3091717.627128,4266886.94579858,5067833.18185182,6857653.33361466,7851245.17759089,14824669.4863422,42774406.4322249,4919918.38522421,8852811.20230302,22444838.523662,21083227.9935286
"30-03-2020",279.709672343942,243.15934030469,252.433602172315,195.227336715988,3089890.84392785,4258805.78260589,5070016.61000117,6841067.57166749,7844881.42695275,14796068.2480366,42675092.3102613,4916343.89763039,8835506.31813158,22392446.6733662,21092806.5993369
"31-03-2020",279.600641303518,242.711059192519,252.542118360634,194.703177477333,3087791.71980476,4250542.90092359,5072208.95241995,6823709.55022232,7837708.01250156,14766827.6117351,42571334.5047239,4912313.72411554,8817811.38709207,22337714.5790105,21102444.6653623
"01-04-2020",279.469292412109,242.252876479989,252.651225905038,194.154425033105,3085420.2526572,4242098.29248005,5074410.21130276,6805579.2519032,7829724.92705589,14736947.5481662,42463132.911748,4907827.86064498,8799726.39147079,22280642.1858063,21112142.2012529
"02-04-2020",279.34752309836,241.810652477269,252.732080657399,193.624379613594,3083158.45565052,4233962.38658199,5076055.03766022,6788015.97846037,7822072.58224208,14708101.1651337,42358078.3998363,4903511.90414609,8782320.27330232,22225221.8237799,21119514.8604053
"03-04-2020",279.235333240382,241.384386741688,252.784682698663,193.11304068821,3081006.32652068,4226135.17508526,5077143.43313899,6771019.71231257,7814750.9704001,14680288.433762,42256170.8638269,4899365.85029864,8765593.01516281,22171453.4374541,21124562.6502005
"04-04-2020",279.132722725854,240.974078846523,252.809032081483,192.62040774507,3078963.86311316,4218616.65015428,5077675.39882851,6754590.43644541,7807760.08420035,14653509.3262086,42157410.2017034,4895389.69495203,8749544.60030719,22119336.9730033,21127285.575691
"05-04-2020",279.039691452064,240.579728381042,252.805128830233,192.146480291037,3077031.06338339,4211406.80426271,5077650.93526134,6738728.13441288,7801099.91664469,14627763.8156666,42061796.3146049,4891583.43412596,8734175.01267033,22068872.378258,21127683.639603
"06-04-2020",278.956239325872,240.20133495047,252.772972941001,191.691257851678,3075207.92539644,4204505.63019302,5077070.04241285,6723432.79033567,7794770.46106571,14603051.8763631,41969329.1068147,4887947.06401002,8719484.23686628,22020059.6026994,21125756.8423341
"07-04-2020",278.882366263767,239.838898176051,252.712564381613,191.254739971307,3073494.44732762,4197913.12103733,5075932.71970188,6708704.38890291,7788771.71112828,14579373.4835621,41880008.4857718,4884480.58096465,8705472.25818997,21972898.5974652,21121505.181957
"08-04-2020",278.818072191784,239.492417694945,252.623903091592,190.83692621294,3071890.62746143,4191629.27019584,5074238.96598978,6694542.91537046,7783103.66082674,14556728.613559,41793834.36206,4881183.98151932,8692139.0626139,21927389.315344,21114928.6542152
"09-04-2020",278.763357045544,239.1618931603,252.506988982163,190.437816158326,3070396.46419221,4185654.07137798,5071988.77958064,6680948.35556204,7777766.30448674,14535117.2436848,41710806.6494156,4878057.26237376,8679484.63679067,21883531.710779,21106027.2525234
"10-04-2020",278.718220770291,238.847324241261,252.361821936316,190.057409407939,3069011.95602442,4179987.51860255,5069182.15822243,6667920.69586888,7772759.63676577,14514539.3523063,41630925.2647234,4875100.42039824,8667508.96805317,21841325.7398666,21094800.9679733
"11-04-2020",278.682663320839,238.548710622921,252.188401808718,189.695705580975,3067737.10157206,4174629.60619693,5065819.09910529,6655459.9232498,7768083.65265183,14494994.9188237,41554190.1280196,4872313.45263277,8656212.04441286,21800771.3603572,21081249.7893254
