"","World.Steel.Production..000.tonnes."
"11-06-2008",3972.43333333333
"12-06-2008",3972.43333333333
"13-06-2008",3972.43333333333
"14-06-2008",3972.43333333333
"15-06-2008",3972.43333333333
"16-06-2008",3972.43333333333
"17-06-2008",3972.43333333333
"18-06-2008",3972.43333333333
"19-06-2008",3972.43333333333
"20-06-2008",3972.43333333333
"21-06-2008",3972.43333333333
"22-06-2008",3972.43333333333
"23-06-2008",3972.43333333333
"24-06-2008",3972.43333333333
"25-06-2008",3972.43333333333
"26-06-2008",3972.43333333333
"27-06-2008",3972.43333333333
"28-06-2008",3972.43333333333
"29-06-2008",3972.43333333333
"30-06-2008",3972.43333333333
"01-07-2008",3762.45161290322
"02-07-2008",3762.45161290322
"03-07-2008",3762.45161290322
"04-07-2008",3762.45161290322
"05-07-2008",3762.45161290322
"06-07-2008",3762.45161290322
"07-07-2008",3762.45161290322
"08-07-2008",3762.45161290322
"09-07-2008",3762.45161290322
"10-07-2008",3762.45161290322
"11-07-2008",3762.45161290322
"12-07-2008",3762.45161290322
"13-07-2008",3762.45161290322
"14-07-2008",3762.45161290322
"15-07-2008",3762.45161290322
"16-07-2008",3762.45161290322
"17-07-2008",3762.45161290322
"18-07-2008",3762.45161290322
"19-07-2008",3762.45161290322
"20-07-2008",3762.45161290322
"21-07-2008",3762.45161290322
"22-07-2008",3762.45161290322
"23-07-2008",3762.45161290322
"24-07-2008",3762.45161290322
"25-07-2008",3762.45161290322
