Shipping Intelligence Network Timeseries;;;;;;;;;;;;;;;
Created 23 February 2024 11:49;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;No;No;No;No;CGT;CGT;CGT;CGT;DWT;DWT;DWT;GT;GT;GT;DWT
Date;Handysize Bulker Orderbook [No];Handymax Bulker Orderbook [No];Panamax Bulker Orderbook [No];Capesize Bulker Orderbook [No];Handysize Bulker Orderbook [CGT];Handymax Bulker Orderbook [CGT];Panamax Bulker Orderbook [CGT];Capesize Bulker Orderbook [CGT];Handysize Bulker Orderbook [DWT];Handymax Bulker Orderbook [DWT];Capesize Bulker Orderbook [DWT];Handysize Bulker Orderbook [GT];Handymax Bulker Orderbook [GT];Capesize Bulker Orderbook [GT];Panamax Bulker Orderbook [DWT]
Jun-2003;138;176;172;83;1487495.97209;2790794.8521;3255730.10035;2555145.36444;3715041;9267887;14965580;2316136;5427380;7589758;13422951
Jul-2003;139;189;200;92;1504127.65784;3005748.47784;3811003.28913;2821213.47804;3769933;10007405;16477542;2345924;5856378;8361119;15585658
Aug-2003;133;208;210;100;1447665.84911;3311593.06473;3997595.07994;3067401.69235;3635923;11048706;17929308;2264875;6456101;9091501;16335504
Sep-2003;132;208;210;97;1434985.25995;3318636.51389;3997841.92264;2975514.65376;3604946;11075125;17405487;2243626;6478601;8819799;16336453
Oct-2003;142;211;208;100;1541946.22335;3365122.83261;3958324.44589;3075016.93908;3873788;11254142;18017966;2407541;6566992;9129444;16169557
Nov-2003;155;221;225;106;1699230.40289;3526236.49704;4279337.36101;3251098.407;4292060;11803482;19006521;2664406;6883595;9638295;17497993
Dec-2003;161;224;227;105;1767690.0339;3573389.55439;4320351.05872;3224394.32187;4464258;11980751;18870674;2773035;6974405;9567131;17671690
Jan-2004;173;243;235;116;1902734.53644;3872927.58775;4475795.93851;3550757.19138;4814757;12995692;20737014;2987246;7553204;10514936;18319176
Feb-2004;222;241;240;116;2296429.75215;3845713.4059;4570831.22385;3561416.7161;5626015;12917748;20848225;3497383;7505611;10567857;18708639
Mar-2004;217;242;249;114;2235391.72443;3867830.38863;4751854.16822;3494835.62642;5465369;12981330;20446523;3398560;7556303;10363631;19463085
Apr-2004;223;237;258;124;2296731.31864;3795618.75807;4920045.59641;3823886.66525;5608935;12722283;22470477;3490563;7426298;11390265;20161971
May-2004;228;243;261;137;2345539.07917;3889073.73707;4980033.70668;4249075.72333;5717394;13067234;25084049;3562170;7604849;12711726;20419808
Jun-2004;229;245;261;137;2351409.45413;3923714.36704;4976531.75547;4267941.9486;5719335;13189450;25271367;3567761;7676117;12814306;20393483
Jul-2004;232;255;256;140;2382940.7386;4092439.97739;4883013.67339;4381094.96476;5798640;13744078;26033327;3614344;8018656;13202173;20011039
Aug-2004;238;266;255;145;2422509.29438;4299692.52496;4868315.87988;4539600.64554;5858219;14350194;26989058;3652557;8468352;13693399;19941559
Sep-2004;235;262;255;146;2386928.27014;4237479.47681;4875941.90675;4586536.94269;5763575;14139714;27338570;3595166;8349048;13869712;19992271
Oct-2004;229;266;249;152;2311962.82238;4309999.07565;4763172.36267;4794771.31826;5568711;14364711;28652643;3470438;8501199;14540362;19543921
Nov-2004;238;278;253;152;2403689.86981;4498406.64214;4845200.77922;4794749.39992;5779147;15000773;28646052;3606830;8864541;14540256;19900090
Dec-2004;239;271;252;152;2425049.4686;4389466.97212;4826357.51922;4822732.62059;5847770;14633752;28988314;3648768;8655602;14697652;19821042
Jan-2005;238;276;255;154;2398123.18066;4475385.06216;4896449.00912;4923374.13152;5761882;14915064;29772248;3593888;8832161;15090196;20110918
Feb-2005;284;324;277;174;2754777.43079;5254699.93045;5346568.04543;5572342.69562;6480110;17478877;33733157;4036729;10372010;17084427;22019785
Mar-2005;285;323;271;178;2773248.89199;5241044.54073;5234627.75473;5694657.07394;6538991;17430652;34439735;4074805;10348210;17445706;21557959
Apr-2005;288;322;276;175;2790315.41989;5230413.98138;5326848.89179;5595115.82633;6550555;17370851;33823418;4086580;10335758;17139391;21941410
May-2005;282;321;271;175;2715712.78372;5224782.13238;5234497.12943;5593201.38452;6350971;17318145;33795819;3960652;10338426;17129838;21573550
Jun-2005;288;314;264;174;2775025.76429;5114258.60424;5107750.70873;5568257.00019;6477626;16918095;33665910;4046633;10125206;17067616;21064621
Jul-2005;295;316;261;172;2857011.41165;5158332.71152;5051322.44804;5507752.99462;6685236;17020971;33322599;4177416;10227911;16890136;20832961
Aug-2005;298;312;266;171;2911516.61213;5099457.36934;5144416.8762;5472527.85927;6841737;16846357;33091747;4270913;10119924;16776631;21220308
Sep-2005;293;310;272;168;2865416.17522;5071944.82691;5246646.66582;5379366.52499;6738998;16737657;32542628;4202786;10073001;16498336;21702898
Oct-2005;293;304;267;164;2873876.34641;4970442.18182;5151486.47534;5258375.7114;6758407;16412996;31839791;4225839;9866168;16143458;21305373
Nov-2005;298;297;262;163;2934797.16128;4860149.74997;5063263.30248;5247847.7858;6920688;16023694;31874039;4323978;9653011;16162207;20937562
Dec-2005;299;289;256;160;2961283.50603;4732969.00958;4949709.95163;5164155.39229;7010546;15604069;31422526;4376995;9405699;15935916;20472063
Jan-2006;301;292;265;163;3006330.83259;4774007.7629;5124311.22376;5293926.1886;7147454;15760997;32349165;4460487;9476007;16410194;21213312
Feb-2006;429;318;274;163;4170470.02944;5244120.25753;5309029.29819;5316332.00341;9763563;17239228;32554808;6084052;10477064;16522277;22005817
Mar-2006;433;320;275;161;4213137.83245;5276705.60843;5329588.12802;5241626.17044;9865312;17348988;32058716;6150558;10541456;16281450;22065238
Apr-2006;448;342;272;194;4409938.00176;5638810.01797;5275910.29898;6251558.20847;10407704;18629373;37910263;6485669;11260614;19264871;21812687
May-2006;449;340;266;197;4441603.20569;5615507.49118;5164277.06482;6347084.79698;10504975;18561324;38446159;6551244;11227964;19554312;21356817
Jun-2006;454;349;260;198;4511777.24002;5770570.00495;5051406.10258;6403237.47592;10691176;19031972;38871847;6671554;11545009;19781290;20896672
Jul-2006;464;354;255;193;4644423.42175;5855868.44017;4962488.32153;6251801.09059;11029957;19287112;37990874;6896692;11718873;19336743;20531002
Aug-2006;483;374;257;205;4869116.84074;6173146.78682;5004326.88147;6619872.46126;11581722;20405421;40137077;7261510;12333194;20426032;20713921
Sep-2006;479;379;252;203;4832404.73386;6255263.51529;4905042.57421;6559428.54921;11498682;20691741;39775749;7209519;12496203;20244775;20289969
Oct-2006;496;385;247;222;5050604.5973;6356978.09438;4808037.04508;7179492.50982;12072859;21058267;43554613;7576632;12702023;22169201;19876226
Nov-2006;525;392;250;230;5404997.23311;6479270.94005;4867038.00433;7448094.69397;12974879;21490863;45191149;8158861;12955276;23019674;20125157
Dec-2006;535;415;269;267;5540363.7552;6855419.22163;5251462.39121;8608684.30155;13324307;22812031;51874421;8391956;13699578;26507734;21699675
Jan-2007;583;477;322;311;6129286.71395;7873533.88669;6378554.85372;9940359.97193;14846616;26334873;59344034;9361723;15720515;30444375;26529200
Feb-2007;789;508;342;311;7897126.56434;8380450.77043;6754762.12554;9933650.40833;18660474;28054640;59232521;11719910;16724352;30414969;28101284
Mar-2007;795;543;355;327;7981999.07524;8957842.26233;7012271.6553;10413846.91292;18893354;30049290;61918148;11867987;17873432;31827347;29187261
Apr-2007;797;572;356;365;8021267.5774;9433047.62544;7045263.14448;11617056.11218;19019278;31672593;68906212;11946445;18815449;35487503;29350491
May-2007;813;631;358;388;8196259.98707;10406411.9302;7095445.23467;12286272.70068;19434881;35112212;72442746;12220472;20754219;37380567;29568066
Jun-2007;863;670;389;439;8844221.29156;11055289.14121;7719630.9996;13945044.02238;21117609;37394398;82442344;13330280;22050941;42553095;32148572
Jul-2007;875;705;422;479;9020327.93481;11635134.3953;8382369.88604;15131982.29793;21625737;39396853;89045850;13644591;23208111;46015733;34943183
Aug-2007;942;744;447;506;9856024.82048;12272495.79739;8861983.63755;15888475.70032;23757677;41625730;92988863;15038555;24469810;48138327;36999751
Sep-2007;959;778;484;542;10077999.29875;12840506.97111;9575764.75645;17004029.21801;24326064;43603158;99404025;15421207;25609600;51461557;39932497
Oct-2007;995;796;515;580;10562811.51908;13133053.57811;10218425.96445;18159364.21284;25600895;44636044;106019280;16262585;26185092;54874969;42684491
Nov-2007;1014;829;560;616;10827720.27874;13676087.61144;11132190.78088;19302600.64757;26318542;46539798;112799479;16726137;27263362;58361472;46552600
Dec-2007;1060;842;578;645;11443206.58384;13893409.94133;11491595.09442;20266165.20066;27933029;47304386;118623099;17787145;27699260;61438437;48062594
