"Date","Ind Prod Excl Const VOLA","OC.PRODUCTION...TOTAL.INDUSTRY.EXCL..CONSTRUCTION.SADJ"
"13-06-2009",85.3199759911406,-14.8379399871924
"14-06-2009",85.3417118362875,-14.8122550122599
"15-06-2009",85.3641005658784,-14.7855812015425
"16-06-2009",85.3871422417945,-14.7579180951313
"17-06-2009",85.4108369277215,-14.72926521606
"18-06-2009",85.4351846891509,-14.6996220702969
"19-06-2009",85.4601855933785,-14.668988146736
"20-06-2009",85.4858397095052,-14.6373629171884
"21-06-2009",85.512147108438,-14.6047458363731
"22-06-2009",85.5391078628893,-14.5711363419077
"23-06-2009",85.5667220473765,-14.5365338542985
"24-06-2009",85.5949897382243,-14.500937776931
"25-06-2009",85.6239110135636,-14.4643474960587
"26-06-2009",85.6534859533305,-14.4267623807936
"27-06-2009",85.6837146392692,-14.3881817830946
"28-06-2009",85.7145971549301,-14.3486050377564
"29-06-2009",85.7461335856704,-14.3080314623987
"30-06-2009",85.7783240186559,-14.2664603574529
"01-07-2009",85.8111685428586,-14.2238910061521
"02-07-2009",85.8428010916095,-14.1816576346214
"03-07-2009",85.8732217523387,-14.1397595146746
"04-07-2009",85.9024306091273,-14.0981959239062
"05-07-2009",85.9304277427073,-14.0569661456782
"06-07-2009",85.9572132304611,-14.0160694691083
"07-07-2009",85.9827871464226,-13.9755051890578
"08-07-2009",86.0071495612769,-13.9352726061189
"09-07-2009",86.0303005423602,-13.8953710266029
"10-07-2009",86.0522401536609,-13.8557997625283
"11-07-2009",86.0729684558187,-13.816558131609
"12-07-2009",86.0924855061258,-13.7776454572424
"13-07-2009",86.1107913585264,-13.7390610684975
"14-07-2009",86.1278860636161,-13.7008043001039
"15-07-2009",86.143769668645,-13.6628744924397
"16-07-2009",86.1584422175137,-13.6252709915209
"17-07-2009",86.171903750777,-13.5879931489893
"18-07-2009",86.1841543056412,-13.5510403221017
"19-07-2009",86.1951939159665,-13.5144118737191
"20-07-2009",86.2050226122662,-13.4781071722949
"21-07-2009",86.2136404217058,-13.4421255918653
