Shipping Intelligence Network Timeseries;;;;;;;;;;;;;;;;
Created 23 February 2024 11:52;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Date;No;No;No;No;DWT;DWT;DWT;DWT;$m;$m;$m;$m;GT;GT;GT;GT
Date;Handysize Bulker Sales [No];Handymax Bulker Sales [No];Panamax Bulker Sales [No];Capesize Sales [No];Handysize Bulker Sales [DWT];Handymax Bulker Sales [DWT];Panamax Bulker Sales [DWT];Capesize Sales [DWT];Handysize Bulker Sales [$m];Handymax Bulker Sales [$m];Panamax Bulker Sales [$m];Capesize Sales [$m];Handysize Bulker Sales [GT];Handymax Bulker Sales [GT];Panamax Bulker Sales [GT];Capesize Sales [GT]
Jun-2006;29;24;20;4;862299;1157749;1409302;703818;216.55;616;501.75;200.3;515324;670490;751904;358719
Jul-2006;13;10;16;2;386268;454297;1121711;326157;66.465;241.8;288.7;98.9;234653;265891;597742;166585
Aug-2006;11;22;19;7;267000;1030191;1336259;1100049;116.3;467.2;604.35;276.5;162737;596658;720653;565197
Sep-2006;16;14;7;4;487974;683074;514630;636427;238.9;332.95;271.35;212.25;295906;391787;273099;327601
Oct-2006;12;6;8;3;335833;263592;599781;473838;103.55;159.5;206.45;125.75;202510;153039;322321;243188
Nov-2006;29;11;15;11;724217;510797;1115907;1801487;371.8;275.55;582.7;748.5;437694;295446;591291;920115
Dec-2006;16;6;11;3;421477;282628;777929;465842;258.25;178.65;352.9;136.6;260486;159749;414264;247037
Jan-2007;17;19;15;6;453246;912340;1065629;927717;155.44;369.65;451.08;187;271941;525284;563025;479586
Feb-2007;24;11;8;5;616028;553606;570706;772708;291.6;385.8;254.5;265;386339;316083;308314;405033
Mar-2007;23;19;17;9;618668;908167;1200886;1427255;311.95;473.25;584.65;638;376703;546459;636887;741704
Apr-2007;25;14;13;8;636813;642753;949268;1276918;345.2;433.05;406.9;516;388864;372919;507346;663308
May-2007;40;12;8;9;1105649;595621;570880;1491882;499.7;428.06;332.55;694;672334;340715;310715;775699
Jun-2007;32;8;23;4;862213;380390;1601075;612064;572.1;270.65;746.5;154.5;536106;225525;863073;321500
Jul-2007;27;41;18;16;707727;2233460;1353944;2786117;455.5;1675;1077.1;1783.5;440213;1293402;714249;1432366
Aug-2007;23;13;18;1;603708;688011;1295010;140839;310;703.4;892.75;22.5;368814;395978;688701;76347
Sep-2007;15;16;9;3;407406;786335;634753;525255;236.35;358;422;292;250965;462333;336801;270993
Oct-2007;25;9;13;9;567323;456283;957320;1480934;378.4;321.9;768;619;355223;263207;512234;764702
Nov-2007;16;7;17;4;463149;327848;1286861;594545;387;280.5;833.75;362;276694;198011;691795;315058
Dec-2007;3;4;6;1;102384;205441;428247;188334;67.4;205;274.5;78;60138;119194;224654;95748
Jan-2008;12;4;7;2;326034;178624;479001;308850;365.1;189.5;273.5;121.4;210388;100830;258461;162672
Feb-2008;13;3;1;3;350249;128209;66904;537608;312.6;69.3;37;218.7;214355;75285;37094;271686
Mar-2008;17;8;12;3;472575;367424;876370;524325;371.13;396;677;145.5;301770;225186;464339;272430
Apr-2008;10;12;10;3;275039;581303;718146;490050;241.5;649.95;640.5;140;165906;331998;381456;250012
May-2008;24;10;8;6;687390;499826;584657;948611;733.85;441.5;511.75;616.7;432168;290984;310317;489679
Jun-2008;17;8;5;4;492663;400000;362194;652514;337.85;450.05;209;568;302463;229593;191083;341453
Jul-2008;10;6;1;1;275300;322620;63195;150661;185.8;308.5;20;42;170101;189259;34917;80624
Aug-2008;5;1;3;1;120155;43296;222589;124292;115.5;29;379;18.5;71871;26195;118000;71792
Sep-2008;8;0;1;5;248820;0;64005;903000;119.51;0;8.2;733.9;153252;0;35724;465428
Oct-2008;2;3;2;4;42143;132744;134790;713779;0;53.2;71.4;367;26216;80355;71547;368448
Nov-2008;6;13;7;1;152380;634667;512971;207785;27.1;234.45;99;25;90984;366556;273906;110352
Dec-2008;13;3;3;0;361467;139280;213818;0;81.57;29.85;20.5;0;217729;79501;120165;0
