"","Monthly.Global.Seaborne.Iron.Ore.Trade.Indicator..Volume.Index.","Monthly.Global.Seaborne.Coal.Trade.Indicator..Volume.Index.","Monthly.Global.Seaborne.Grain.Trade.Indicator..Volume.Index.","Monthly.Global.Seaborne.Minor.Bulk.Trade.Indicator..Volume.Index.","Monthly.Global.Seaborne.Dry.Bulk.Trade.Indicator..Volume.Index.","Monthly.Global.Seaborne.Iron.Ore.Trade.Indicator....Yr.Yr.","Monthly.Global.Seaborne.Iron.Ore.Trade.Indicator....Yr.Yr.3mma.","Monthly.Global.Seaborne.Coal.Trade.Indicator....Yr.Yr.","Monthly.Global.Seaborne.Coal.Trade.Indicator....Yr.Yr.3mma.","Monthly.Global.Seaborne.Grain.Trade.Indicator....Yr.Yr.","Monthly.Global.Seaborne.Grain.Trade.Indicator....Yr.Yr.3mma.","Monthly.Global.Seaborne.Minor.Bulk.Trade.Indicator....Yr.Yr.","Monthly.Global.Seaborne.Minor.Bulk.Trade.Indicator....Yr.Yr.3mma.","Monthly.Global.Seaborne.Dry.Bulk.Trade.Indicator....Yr.Yr.","Monthly.Global.Seaborne.Dry.Bulk.Trade.Indicator....Yr.Yr.3mma."
"02-03-2015",99.7346847458444,98.3881526554473,100.050489734708,94.4070287288189,97.7549352838386,10.0970250387424,7.66893668619676,-2.67203253481591,-1.9579976039572,3.9663503266062,4.9353612824032,3.02304429389989,-3.11946911437423,3.70118136388236,0.942620943982286
"03-03-2015",100.278559489118,99.598879647643,100.898051763148,95.100491178464,98.5692338969903,10.207339731449,7.70168895847656,-1.96146153376398,-1.78781728747347,4.29900341637614,5.01456276439249,3.06538895359461,-3.08620912724723,4.05422179477563,1.02063195565611
"04-03-2015",100.77875760105,100.72001374794,101.688273827662,95.7565722705738,99.3257134842751,10.2973718618643,7.73195244020495,-1.29233700934267,-1.62843124360893,4.58903180099799,5.0807369446279,3.1044009861841,-3.04734313749778,4.3592460305554,1.09548420738372
"05-03-2015",101.237375586003,101.754297183362,102.423054765863,96.3767702042615,100.026663468679,10.3700922484952,7.75973056355315,-0.664033255193508,-1.47983608196586,4.83861142374352,5.13389205567606,3.14022690543846,-3.00287056813598,4.62197713107717,1.16718231751362
"06-03-2015",101.656335671558,102.704259749394,103.104160194968,96.962501237373,100.67420521743,10.4279004687976,7.78502647882873,-0.0759627369493105,-1.34202864168604,5.04961476030713,5.17403471043333,3.17300125934585,-2.95279075893855,4.84734462533505,1.23573070978531
"07-03-2015",102.037393865237,103.572224997713,103.733226754431,97.5151029205934,101.270298462145,10.4727040387875,7.8078430548329,0.472424457176235,-1.21500599138323,5.22362486708903,5.20116990294842,3.20284713542146,-2.89710296643939,5.03957700243851,1.30113361360217
"08-03-2015",102.382147314546,104.360315919459,104.311766038648,98.0358371518218,101.81674722979,10.5059813559472,7.82818287918584,0.981641130617677,-1.09876542908131,5.36194725810492,5.21530100904372,3.22987662297559,-2.83580636391825,5.20228104923027,1.36339506429243
"09-03-2015",102.692041001168,105.070460137936,104.841168229191,98.5258930577878,102.315205302425,10.5288304823708,7.84604825862014,1.45216345798645,-0.993304482156379,5.46561969962883,5.21642978673536,3.25419123407679,-2.76890004138866,5.33850952312859,1.42251890335816
"10-03-2015",102.968373797392,105.704394623474,105.322705435305,98.9863897094911,102.767181222234,10.5420053778651,7.86144121924244,1.88443143034742,-0.898620907284271,5.53541999605356,5.20455637645174,3.27588228479102,-2.69638300558425,5.45081842991492,1.47850877871226
"11-03-2015",103.212303910136,106.263669941948,105.757534750672,99.4183786776652,103.174042857003,10.5459407785981,7.8743635067632,2.27884926665984,-0.814712690392984,5.57187182538249,5.17967930105118,3.29503123812873,-2.61825417994423,5.54131498114969,1.53136814490357
"12-03-2015",103.424853735392,106.74965404737,106.146701033815,99.8228464340995,103.537021539865,10.5407665422247,7.88481658669469,2.63578579176731,-0.741578046619628,5.57524866813329,5.14179546563804,3.31171000998768,-2.53451240459711,5.61169713102367,1.58110026332996
"13-03-2015",103.606914143449,107.163535627825,106.491139418806,100.200716604305,103.857215795821,10.526311932841,7.89280164451717,2.95557478129034,-0.67921542027257,5.54557585913062,5.09090015717775,3.32598123924065,-2.44515643634375,5.66328543446084,1.62770820243964
"14-03-2015",103.759248212838,107.506327012931,106.791677562311,100.552852076667,104.135594666338,10.5020999871574,7.89831958581332,3.2385152737439,-0.627623484798484,5.48263077758102,5.02698704391044,3.33789852298226,-2.35018494863877,5.69704782421465,1.6711948379204
"15-03-2015",103.882494428656,107.778866649933,107.049037632386,100.880056972899,104.373000642073,10.4673317759919,7.90137103637103,3.48487185017191,-0.586801142753721,5.3859411768564,4.95004817456323,3.34750661781849,-2.24959653157092,5.71361777184166,1.71156285287708
"16-03-2015",103.977169358687,107.981821154501,107.263838043782,101.183078484303,104.570152212603,10.4208600417519,7.90195634225426,3.69487488156019,-0.556747525781461,5.25478164145502,4.86007397736107,3.35484160795475,-2.14338969184196,5.71330617330013,1.74881473799712
"17-03-2015",104.04366981851,108.115686941225,107.436594943944,101.462608578023,104.727646040871,10.3611513420153,7.90007556984235,3.8687207442591,-0.537461994592779,5.08816814455842,4.75705325883585,3.35993104071395,-2.03156285274484,5.69610718217885,1.78295279170421
"18-03-2015",104.082274534696,108.180791437822,107.567723453274,101.719285577193,104.845958768939,10.2862354500486,7.89572850583754,4.00657200361741,-0.528944138953444,4.88485066535213,4.64097320243393,3.36279402999332,-1.91411435414,5.66169810000311,1.81397912030011
"19-03-2015",104.093145313045,108.177293886001,107.657538662626,101.953695618583,104.925448460505,10.1936403426164,7.88891465724079,4.1085575659991,-0.53119377767493,4.64330381072164,4.51181936692166,3.36344132804863,-1.79104245243077,5.6094333215594,1.84189563809463
"20-03-2015",104.076327716772,108.105185730959,107.706256390445,102.166373991078,104.966355684557,10.0803106298534,7.8796332512958,4.1747727993253,-0.544210958610704,4.36171537096258,4.36957568458871,3.36187536587547,-1.66234532053764,5.53833222163739,1.86670406752371
"21-03-2015",104.031751257479,107.964290600457,107.713993701363,102.35780635804,104.968804243427,9.9425067356047,7.86788323540148,4.20527962225389,-0.567995958657128,4.03797272364422,4.21422445924922,3.35809026233904,-1.52802104787096,5.44706075591236,1.88840593925571
"22-03-2015",103.959229099711,107.754263873425,107.68076918749,102.528429866349,104.932801547478,9.77568150145594,7.8536632769925,4.20010656208045,-0.602549283759481,3.66964698362089,4.04574636404017,3.35207180208699,-1.38806764030265,5.33390643075211,1.90700259228586
"23-03-2015",103.858457277867,107.474591837035,107.606503013096,102.678634144653,104.858238637524,9.57433014271787,7.83697176338817,4.15924878141444,-0.64787166892253,3.25397478027676,3.86412043901705,3.34379738216214,-1.24248302013663,5.19674617231581,1.92249517401885
"24-03-2015",103.72901342217,107.124590430199,107.491016722767,102.808762193108,104.744889855076,9.33180860531557,7.8178068016096,4.08266807365571,-0.703964078226492,2.78783752528704,3.66932408854625,3.33323592711474,-1.09126502607791,5.03300649208437,1.93488464033965
